group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ristretto Add,,,,,1294223.0,ns,5044
Ristretto Add,,,,,1969446.0,ns,10088
Ristretto Add,,,,,2887620.0,ns,15132
Ristretto Add,,,,,4035303.0,ns,20176
Ristretto Add,,,,,5256281.0,ns,25220
Ristretto Add,,,,,5830756.0,ns,30264
Ristretto Add,,,,,7001676.0,ns,35308
Ristretto Add,,,,,7910377.0,ns,40352
Ristretto Add,,,,,8808057.0,ns,45396
Ristretto Add,,,,,9659874.0,ns,50440
Ristretto Add,,,,,10581581.0,ns,55484
Ristretto Add,,,,,11547673.0,ns,60528
Ristretto Add,,,,,12604401.0,ns,65572
Ristretto Add,,,,,13644809.0,ns,70616
Ristretto Add,,,,,14407266.0,ns,75660
Ristretto Add,,,,,15576804.0,ns,80704
Ristretto Add,,,,,16494292.0,ns,85748
Ristretto Add,,,,,17193385.0,ns,90792
Ristretto Add,,,,,18135806.0,ns,95836
Ristretto Add,,,,,19164317.0,ns,100880
Ristretto Add,,,,,19939783.0,ns,105924
Ristretto Add,,,,,21246385.0,ns,110968
Ristretto Add,,,,,21912935.0,ns,116012
Ristretto Add,,,,,23280195.0,ns,121056
Ristretto Add,,,,,24566208.0,ns,126100
Ristretto Add,,,,,25036890.0,ns,131144
Ristretto Add,,,,,25983151.0,ns,136188
Ristretto Add,,,,,28986640.0,ns,141232
Ristretto Add,,,,,27897837.0,ns,146276
Ristretto Add,,,,,29154844.0,ns,151320
Ristretto Add,,,,,30129146.0,ns,156364
Ristretto Add,,,,,33140933.0,ns,161408
Ristretto Add,,,,,32473206.0,ns,166452
Ristretto Add,,,,,33948482.0,ns,171496
Ristretto Add,,,,,34779592.0,ns,176540
Ristretto Add,,,,,35696608.0,ns,181584
Ristretto Add,,,,,36525008.0,ns,186628
Ristretto Add,,,,,37291939.0,ns,191672
Ristretto Add,,,,,38419799.0,ns,196716
Ristretto Add,,,,,38772921.0,ns,201760
Ristretto Add,,,,,38845538.0,ns,206804
Ristretto Add,,,,,40070041.0,ns,211848
Ristretto Add,,,,,41543526.0,ns,216892
Ristretto Add,,,,,42717308.0,ns,221936
Ristretto Add,,,,,43804859.0,ns,226980
Ristretto Add,,,,,44343529.0,ns,232024
Ristretto Add,,,,,45086840.0,ns,237068
Ristretto Add,,,,,46536382.0,ns,242112
Ristretto Add,,,,,46780088.0,ns,247156
Ristretto Add,,,,,54693577.0,ns,252200
Ristretto Add,,,,,50249687.0,ns,257244
Ristretto Add,,,,,53675007.0,ns,262288
Ristretto Add,,,,,52710643.0,ns,267332
Ristretto Add,,,,,52213648.0,ns,272376
Ristretto Add,,,,,52690293.0,ns,277420
Ristretto Add,,,,,53401063.0,ns,282464
Ristretto Add,,,,,55348899.0,ns,287508
Ristretto Add,,,,,55955652.0,ns,292552
Ristretto Add,,,,,57177824.0,ns,297596
Ristretto Add,,,,,58429586.0,ns,302640
Ristretto Add,,,,,58302401.0,ns,307684
Ristretto Add,,,,,60568991.0,ns,312728
Ristretto Add,,,,,61634153.0,ns,317772
Ristretto Add,,,,,61964070.0,ns,322816
Ristretto Add,,,,,63007207.0,ns,327860
Ristretto Add,,,,,63369678.0,ns,332904
Ristretto Add,,,,,64039183.0,ns,337948
Ristretto Add,,,,,65094850.0,ns,342992
Ristretto Add,,,,,70928446.0,ns,348036
Ristretto Add,,,,,69947102.0,ns,353080
Ristretto Add,,,,,70283935.0,ns,358124
Ristretto Add,,,,,69316858.0,ns,363168
Ristretto Add,,,,,70376589.0,ns,368212
Ristretto Add,,,,,70656151.0,ns,373256
Ristretto Add,,,,,71502022.0,ns,378300
Ristretto Add,,,,,72655738.0,ns,383344
Ristretto Add,,,,,74304247.0,ns,388388
Ristretto Add,,,,,76240834.0,ns,393432
Ristretto Add,,,,,76216368.0,ns,398476
Ristretto Add,,,,,77760875.0,ns,403520
Ristretto Add,,,,,77712279.0,ns,408564
Ristretto Add,,,,,78843868.0,ns,413608
Ristretto Add,,,,,81647596.0,ns,418652
Ristretto Add,,,,,80691018.0,ns,423696
Ristretto Add,,,,,83747861.0,ns,428740
Ristretto Add,,,,,82977599.0,ns,433784
Ristretto Add,,,,,83148955.0,ns,438828
Ristretto Add,,,,,84229730.0,ns,443872
Ristretto Add,,,,,85663242.0,ns,448916
Ristretto Add,,,,,86750322.0,ns,453960
Ristretto Add,,,,,88153012.0,ns,459004
Ristretto Add,,,,,88411588.0,ns,464048
Ristretto Add,,,,,89405554.0,ns,469092
Ristretto Add,,,,,90675432.0,ns,474136
Ristretto Add,,,,,91598887.0,ns,479180
Ristretto Add,,,,,92398539.0,ns,484224
Ristretto Add,,,,,92851832.0,ns,489268
Ristretto Add,,,,,95471062.0,ns,494312
Ristretto Add,,,,,98407456.0,ns,499356
Ristretto Add,,,,,97519154.0,ns,504400
