group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ristretto Decompress,,,,,1458539.0,ns,258
Ristretto Decompress,,,,,2165354.0,ns,516
Ristretto Decompress,,,,,2886462.0,ns,774
Ristretto Decompress,,,,,4134103.0,ns,1032
Ristretto Decompress,,,,,5557173.0,ns,1290
Ristretto Decompress,,,,,6097592.0,ns,1548
Ristretto Decompress,,,,,6648179.0,ns,1806
Ristretto Decompress,,,,,8031288.0,ns,2064
Ristretto Decompress,,,,,8616148.0,ns,2322
Ristretto Decompress,,,,,9733106.0,ns,2580
Ristretto Decompress,,,,,10728107.0,ns,2838
Ristretto Decompress,,,,,12015801.0,ns,3096
Ristretto Decompress,,,,,13009760.0,ns,3354
Ristretto Decompress,,,,,13978117.0,ns,3612
Ristretto Decompress,,,,,15101024.0,ns,3870
Ristretto Decompress,,,,,16268790.0,ns,4128
Ristretto Decompress,,,,,17275326.0,ns,4386
Ristretto Decompress,,,,,17980433.0,ns,4644
Ristretto Decompress,,,,,18922909.0,ns,4902
Ristretto Decompress,,,,,19905441.0,ns,5160
Ristretto Decompress,,,,,20852408.0,ns,5418
Ristretto Decompress,,,,,21924030.0,ns,5676
Ristretto Decompress,,,,,24822144.0,ns,5934
Ristretto Decompress,,,,,22982148.0,ns,6192
Ristretto Decompress,,,,,24166244.0,ns,6450
Ristretto Decompress,,,,,24883968.0,ns,6708
Ristretto Decompress,,,,,27299542.0,ns,6966
Ristretto Decompress,,,,,28950975.0,ns,7224
Ristretto Decompress,,,,,29503733.0,ns,7482
Ristretto Decompress,,,,,30293556.0,ns,7740
Ristretto Decompress,,,,,30304143.0,ns,7998
Ristretto Decompress,,,,,31206222.0,ns,8256
Ristretto Decompress,,,,,32067950.0,ns,8514
Ristretto Decompress,,,,,32785450.0,ns,8772
Ristretto Decompress,,,,,33982747.0,ns,9030
Ristretto Decompress,,,,,34787526.0,ns,9288
Ristretto Decompress,,,,,35474348.0,ns,9546
Ristretto Decompress,,,,,36517468.0,ns,9804
Ristretto Decompress,,,,,37359238.0,ns,10062
Ristretto Decompress,,,,,38616919.0,ns,10320
Ristretto Decompress,,,,,40767790.0,ns,10578
Ristretto Decompress,,,,,41725193.0,ns,10836
Ristretto Decompress,,,,,42699682.0,ns,11094
Ristretto Decompress,,,,,43140600.0,ns,11352
Ristretto Decompress,,,,,43768108.0,ns,11610
Ristretto Decompress,,,,,44885611.0,ns,11868
Ristretto Decompress,,,,,45511309.0,ns,12126
Ristretto Decompress,,,,,46897098.0,ns,12384
Ristretto Decompress,,,,,48618920.0,ns,12642
Ristretto Decompress,,,,,49957497.0,ns,12900
Ristretto Decompress,,,,,49668171.0,ns,13158
Ristretto Decompress,,,,,49880763.0,ns,13416
Ristretto Decompress,,,,,51512371.0,ns,13674
Ristretto Decompress,,,,,51939786.0,ns,13932
Ristretto Decompress,,,,,53131958.0,ns,14190
Ristretto Decompress,,,,,53811686.0,ns,14448
Ristretto Decompress,,,,,55218586.0,ns,14706
Ristretto Decompress,,,,,56219654.0,ns,14964
Ristretto Decompress,,,,,59816273.0,ns,15222
Ristretto Decompress,,,,,66255111.0,ns,15480
Ristretto Decompress,,,,,62759600.0,ns,15738
Ristretto Decompress,,,,,64591540.0,ns,15996
Ristretto Decompress,,,,,63709833.0,ns,16254
Ristretto Decompress,,,,,63196173.0,ns,16512
Ristretto Decompress,,,,,63784999.0,ns,16770
Ristretto Decompress,,,,,64254514.0,ns,17028
Ristretto Decompress,,,,,64780793.0,ns,17286
Ristretto Decompress,,,,,65234700.0,ns,17544
Ristretto Decompress,,,,,66144497.0,ns,17802
Ristretto Decompress,,,,,67689288.0,ns,18060
Ristretto Decompress,,,,,68231565.0,ns,18318
Ristretto Decompress,,,,,69176404.0,ns,18576
Ristretto Decompress,,,,,70342095.0,ns,18834
Ristretto Decompress,,,,,70787180.0,ns,19092
Ristretto Decompress,,,,,72447506.0,ns,19350
Ristretto Decompress,,,,,74438919.0,ns,19608
Ristretto Decompress,,,,,75175928.0,ns,19866
Ristretto Decompress,,,,,75325527.0,ns,20124
Ristretto Decompress,,,,,75693384.0,ns,20382
Ristretto Decompress,,,,,79137930.0,ns,20640
Ristretto Decompress,,,,,77863475.0,ns,20898
Ristretto Decompress,,,,,85877022.0,ns,21156
Ristretto Decompress,,,,,89050227.0,ns,21414
Ristretto Decompress,,,,,89054074.0,ns,21672
Ristretto Decompress,,,,,85320442.0,ns,21930
Ristretto Decompress,,,,,83661016.0,ns,22188
Ristretto Decompress,,,,,83518543.0,ns,22446
Ristretto Decompress,,,,,85496940.0,ns,22704
Ristretto Decompress,,,,,86775469.0,ns,22962
Ristretto Decompress,,,,,86789604.0,ns,23220
Ristretto Decompress,,,,,88016746.0,ns,23478
Ristretto Decompress,,,,,91156168.0,ns,23736
Ristretto Decompress,,,,,92019907.0,ns,23994
Ristretto Decompress,,,,,92416780.0,ns,24252
Ristretto Decompress,,,,,91723130.0,ns,24510
Ristretto Decompress,,,,,91965725.0,ns,24768
Ristretto Decompress,,,,,93662398.0,ns,25026
Ristretto Decompress,,,,,95241999.0,ns,25284
Ristretto Decompress,,,,,98365980.0,ns,25542
Ristretto Decompress,,,,,99248662.0,ns,25800
