group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Ristretto Mul,,,,,1365532.0,ns,21
Ristretto Mul,,,,,2047695.0,ns,42
Ristretto Mul,,,,,3060763.0,ns,63
Ristretto Mul,,,,,4279625.0,ns,84
Ristretto Mul,,,,,5690212.0,ns,105
Ristretto Mul,,,,,6489048.0,ns,126
Ristretto Mul,,,,,7269948.0,ns,147
Ristretto Mul,,,,,8271186.0,ns,168
Ristretto Mul,,,,,9142595.0,ns,189
Ristretto Mul,,,,,10175042.0,ns,210
Ristretto Mul,,,,,11039033.0,ns,231
Ristretto Mul,,,,,12557339.0,ns,252
Ristretto Mul,,,,,13622286.0,ns,273
Ristretto Mul,,,,,14652823.0,ns,294
Ristretto Mul,,,,,15694526.0,ns,315
Ristretto Mul,,,,,16736811.0,ns,336
Ristretto Mul,,,,,18070498.0,ns,357
Ristretto Mul,,,,,18843921.0,ns,378
Ristretto Mul,,,,,19901162.0,ns,399
Ristretto Mul,,,,,20287300.0,ns,420
Ristretto Mul,,,,,21128946.0,ns,441
Ristretto Mul,,,,,22393690.0,ns,462
Ristretto Mul,,,,,23256671.0,ns,483
Ristretto Mul,,,,,24279133.0,ns,504
Ristretto Mul,,,,,25200834.0,ns,525
Ristretto Mul,,,,,26340631.0,ns,546
Ristretto Mul,,,,,27207544.0,ns,567
Ristretto Mul,,,,,28811733.0,ns,588
Ristretto Mul,,,,,29203927.0,ns,609
Ristretto Mul,,,,,30470007.0,ns,630
Ristretto Mul,,,,,31386798.0,ns,651
Ristretto Mul,,,,,32266241.0,ns,672
Ristretto Mul,,,,,33558825.0,ns,693
Ristretto Mul,,,,,36765525.0,ns,714
Ristretto Mul,,,,,35706932.0,ns,735
Ristretto Mul,,,,,36751872.0,ns,756
Ristretto Mul,,,,,39634711.0,ns,777
Ristretto Mul,,,,,40687705.0,ns,798
Ristretto Mul,,,,,40540118.0,ns,819
Ristretto Mul,,,,,40616499.0,ns,840
Ristretto Mul,,,,,41398092.0,ns,861
Ristretto Mul,,,,,43022723.0,ns,882
Ristretto Mul,,,,,43576784.0,ns,903
Ristretto Mul,,,,,44890117.0,ns,924
Ristretto Mul,,,,,45452332.0,ns,945
Ristretto Mul,,,,,46917969.0,ns,966
Ristretto Mul,,,,,47586372.0,ns,987
Ristretto Mul,,,,,50644267.0,ns,1008
Ristretto Mul,,,,,49473826.0,ns,1029
Ristretto Mul,,,,,51788224.0,ns,1050
Ristretto Mul,,,,,53558116.0,ns,1071
Ristretto Mul,,,,,54604511.0,ns,1092
Ristretto Mul,,,,,54552007.0,ns,1113
Ristretto Mul,,,,,54988568.0,ns,1134
Ristretto Mul,,,,,55901250.0,ns,1155
Ristretto Mul,,,,,56889925.0,ns,1176
Ristretto Mul,,,,,58137499.0,ns,1197
Ristretto Mul,,,,,58796461.0,ns,1218
Ristretto Mul,,,,,59569263.0,ns,1239
Ristretto Mul,,,,,60637041.0,ns,1260
Ristretto Mul,,,,,61852799.0,ns,1281
Ristretto Mul,,,,,62813799.0,ns,1302
Ristretto Mul,,,,,64744016.0,ns,1323
Ristretto Mul,,,,,66157639.0,ns,1344
Ristretto Mul,,,,,66676962.0,ns,1365
Ristretto Mul,,,,,67706565.0,ns,1386
Ristretto Mul,,,,,69347490.0,ns,1407
Ristretto Mul,,,,,70198801.0,ns,1428
Ristretto Mul,,,,,71714182.0,ns,1449
Ristretto Mul,,,,,71819242.0,ns,1470
Ristretto Mul,,,,,72269877.0,ns,1491
Ristretto Mul,,,,,73371711.0,ns,1512
Ristretto Mul,,,,,74123625.0,ns,1533
Ristretto Mul,,,,,74855005.0,ns,1554
Ristretto Mul,,,,,78981997.0,ns,1575
Ristretto Mul,,,,,82744926.0,ns,1596
Ristretto Mul,,,,,84019060.0,ns,1617
Ristretto Mul,,,,,79392705.0,ns,1638
Ristretto Mul,,,,,79691510.0,ns,1659
Ristretto Mul,,,,,80549480.0,ns,1680
Ristretto Mul,,,,,82824293.0,ns,1701
Ristretto Mul,,,,,83383681.0,ns,1722
Ristretto Mul,,,,,85655592.0,ns,1743
Ristretto Mul,,,,,88315329.0,ns,1764
Ristretto Mul,,,,,86329566.0,ns,1785
Ristretto Mul,,,,,87263273.0,ns,1806
Ristretto Mul,,,,,87944224.0,ns,1827
Ristretto Mul,,,,,89295330.0,ns,1848
Ristretto Mul,,,,,91658794.0,ns,1869
Ristretto Mul,,,,,92757669.0,ns,1890
Ristretto Mul,,,,,93183985.0,ns,1911
Ristretto Mul,,,,,93121070.0,ns,1932
Ristretto Mul,,,,,94319097.0,ns,1953
Ristretto Mul,,,,,95353215.0,ns,1974
Ristretto Mul,,,,,97028646.0,ns,1995
Ristretto Mul,,,,,98951984.0,ns,2016
Ristretto Mul,,,,,98245696.0,ns,2037
Ristretto Mul,,,,,99037834.0,ns,2058
Ristretto Mul,,,,,104285680.0,ns,2079
Ristretto Mul,,,,,105428805.0,ns,2100
